"id","name","position","team","posRank","avg","vorp","volr","price"
"13116","Mahomes, Patrick","QB","KCC",1,33.58125,13.37025,19.0225,39.87
"13130","McCaffrey, Christian","RB","SFO",1,19.2,11.47,14.2583333333333,22.18
"14836","Jefferson, Justin","WR+TE","MIN",1,18.31,10.064,12.44,21.18
"11757","Donald, Aaron","DT","LAR",1,13.6683333333333,5.66833333333333,7.385,14.47
"13214","Watt, T.J.","DE","PIT",1,13.5033333333333,6.17833333333333,7.67333333333333,14.75
"12221","Hunter, Danielle","LB","MIN",1,12.09,4.06666666666667,5.61166666666667,12.85
"15850","Pitre, Jalen","S","HOU",1,11.91,3.49666666666667,5.218,13.75
"16011","Stonehouse, Ryan","PN","TEN",1,11.8,7.08666666666667,8.19333333333333,20.59
"14956","Sneed, L'Jarius","CB","KCC",1,11.4475,3.4175,4.075,11.22
"14426","Wright, Matthew","PK","FA",1,6.945,1.417,2.43,14.42
"12801","Hill, Tyreek","WR+TE","MIA",2,17.2833333333333,9.03733333333333,11.4133333333333,20.15
"12626","Henry, Derrick","RB","TEN",2,16.7766666666667,9.04666666666667,11.835,19.76
"12688","Buckner, DeForest","DT","IND",2,12.9383333333333,4.93833333333333,6.655,13.74
"14162","Wilkins, Christian","DE","MIA",2,12.914,5.589,7.084,14.16
"13733","Leonard, Shaquille","LB","IND",2,11.8483333333333,3.825,5.37,12.61
"15894","Woolen, Tariq","CB","SEA",2,10.56,2.53,3.1875,10.33
"10783","Smith, Harrison","S","MIN",2,10.4683333333333,2.055,3.77633333333333,12.31
"9694","Gano, Graham","PK","NYG",2,6.768,1.24,2.253,14.24
"15887","Camarda, Jake","PN","TBB",2,6.62,1.90666666666667,3.01333333333333,15.41
"14779","Herbert, Justin","QB","LAC",3,25.344375,5.133375,10.785625,31.63
"11675","Adams, Davante","WR+TE","LVR",3,15.7433333333333,7.49733333333333,9.87333333333333,18.61
"15708","Hall, Breece","RB","NYJ",3,14.81,7.08,9.86833333333333,17.79
"10266","Heyward, Cameron","DT","PIT",3,12.0233333333333,4.02333333333333,5.74,12.82
"14225","Crosby, Maxx","DE","LVR",3,11.692,4.367,5.862,12.94
"14168","White, Devin","LB","TBB",3,11.132,3.10866666666667,4.65366666666667,11.89
"14903","Diggs, Trevon","CB","DAL",3,10.4375,2.4075,3.065,10.21
"12767","Simmons, Justin","S","DEN",3,10.4066666666667,1.99333333333333,3.71466666666667,12.24
"16010","Wright, Ryan","PN","MIN",3,6.46,1.74666666666667,2.85333333333333,15.25
"10976","Tucker, Justin","PK","BAL",3,6.39,0.862000000000001,1.875,13.86
"12620","Prescott, Dak","QB","DAL",4,25.22125,5.01025,10.6625,31.51
"13164","Kupp, Cooper","WR+TE","LAR",4,15.1016666666667,6.85566666666667,9.23166666666667,17.97
"13610","Chubb, Nick","RB","CLE",4,14.675,6.945,9.73333333333333,17.66
"10272","Watt, J.J.","DT","ARI",4,11.4733333333333,3.47333333333333,5.19,12.27
"14147","Bosa, Nick","DE","SFO",4,11.424,4.099,5.594,12.67
"13696","Smith, Roquan","LB","BAL",4,11.025,3.00166666666667,4.54666666666667,11.79
"13251","Baker, Budda","S","ARI",4,10.3283333333333,1.915,3.63633333333333,12.17
"15842","Chrisman, Drue","PN","CIN",4,6.4,1.68666666666667,2.79333333333333,15.19
"13403","Koo, Younghoe","PK","ATL",4,6.178,0.65,1.663,13.65
"14777","Burrow, Joe","QB","CIN",5,24.39375,4.18275,9.835,30.68
"15281","Chase, Ja'Marr","WR+TE","CIN",5,14.6566666666667,6.41066666666667,8.78666666666667,17.52
"14802","Taylor, Jonathan","RB","IND",5,14.2525,6.5225,9.31083333333333,17.24
"13208","Allen, Jonathan","DT","WAS",5,11.2316666666667,3.23166666666667,4.94833333333333,12.03
"11769","Lawrence, Demarcus","DE","DAL",5,11.0883333333333,3.76333333333333,5.25833333333333,12.33
"10775","Wagner, Bobby","LB","LAR",5,10.9616666666667,2.93833333333333,4.48333333333333,11.72
"13713","Fitzpatrick, Minkah","S","PIT",5,10.245,1.83166666666667,3.553,12.08
"15833","Gardner, Ahmad","CB","NYJ",5,9.94,1.91,2.5675,9.71
"13719","Pineiro, Eddy","PK","CAR",5,6.17,0.642,1.655,13.64
"15499","Gillikin, Blake","PN","NOS",5,6.16666666666667,1.45333333333333,2.56,14.95
"5848","Brady, Tom","QB","TBB",6,24.265,4.054,9.70625,30.55
"11244","Kelce, Travis","WR+TE","KCC",6,14.2383333333333,5.99233333333333,8.36833333333333,17.1
"14073","Jacobs, Josh","RB","LVR",6,14.022,6.292,9.08033333333333,17.01
"13198","Garrett, Myles","DE","CLE",6,11.055,3.73,5.225,12.3
"14157","Williams, Quinnen","DT","NYJ",6,10.93,2.93,4.64666666666667,11.73
"15928","Houston, James","LB","DET",6,10.6,2.57666666666667,4.12166666666667,11.36
"11317","Poyer, Jordan","S","BUF",6,9.95833333333333,1.545,3.26633333333333,11.8
"13707","Ward, Denzel","CB","CLE",6,9.71833333333333,1.68833333333333,2.34583333333333,9.49
"15668","Waitman, Corliss","PN","DEN",6,6.12333333333333,1.41,2.51666666666667,14.91
"14244","Gay, Matt","PK","LAR",6,6.108,0.58,1.593,13.58
"13589","Allen, Josh","QB","BUF",7,23.0125,2.8015,8.45375,29.3
"12186","Diggs, Stefon","WR+TE","BUF",7,13.9866666666667,5.74066666666667,8.11666666666667,16.85
"13128","Cook, Dalvin","RB","MIN",7,13.92,6.19,8.97833333333333,16.9
"13723","Payne, Da'Ron","DT","WAS",7,10.7383333333333,2.73833333333333,4.455,11.54
"15806","Thibodeaux, Kayvon","DE","NYG",7,10.7,3.375,4.87,11.95
"15350","Parsons, Micah","LB","DAL",7,10.4466666666667,2.42333333333333,3.96833333333333,11.21
"13230","Adams, Jamal","S","SEA",7,9.87,1.45666666666667,3.178,11.71
"13223","Humphrey, Marlon","CB","BAL",7,9.58833333333333,1.55833333333333,2.21583333333333,9.36
"15368","McPherson, Evan","PK","CIN",7,6.02666666666667,0.498666666666667,1.51166666666667,13.5
"13848","Johnston, Cam","PN","HOU",7,5.885,1.17166666666667,2.27833333333333,14.67
"7836","Rodgers, Aaron","QB","GBP",8,22.6425,2.4315,8.08375,28.93
"13404","Ekeler, Austin","RB","LAC",8,13.8983333333333,6.16833333333333,8.95666666666667,16.88
"14104","Brown, A.J.","WR+TE","PHI",8,13.764,5.518,7.894,16.63
"14163","Simmons, Jeffery","DT","TEN",8,10.682,2.682,4.39866666666667,11.48
"11728","Mosley, C.J.","LB","NYJ",8,10.416,2.39266666666667,3.93766666666667,11.18
"10292","Jordan, Cameron","DE","NOS",8,10.235,2.91,4.405,11.48
"13714","James, Derwin","S","LAC",8,9.828,1.41466666666667,3.136,11.66
"15380","Campbell, Tyson","CB","JAC",8,9.23666666666667,1.20666666666667,1.86416666666667,9.01
"13718","Carlson, Daniel","PK","LVR",8,5.80833333333333,0.280333333333333,1.29333333333333,13.28
"11985","Way, Tress","PN","WAS",8,5.775,1.06166666666667,2.16833333333333,14.56
"15284","Waddle, Jaylen","WR+TE","MIA",9,13.71,5.464,7.84,16.58
"13132","Kamara, Alvin","RB","NOS",9,13.19,5.46,8.24833333333333,16.17
"12305","Jarrett, Grady","DT","ATL",9,10.3583333333333,2.35833333333333,4.075,11.16
"13307","Milano, Matt","LB","BUF",9,10.295,2.27166666666667,3.81666666666667,11.06
"13684","Hubbard, Sam","DE","CIN",9,9.99166666666667,2.66666666666667,4.16166666666667,11.24
"14224","Gardner-Johnson, Chauncey","S","PHI",9,9.736,1.32266666666667,3.044,11.57
"16095","Sciba, Nick","PK","FA",9,5.8,0.272,1.285,13.27
"13782","Dickson, Michael","PN","SEA",9,5.45166666666667,0.738333333333333,1.845,14.24
"14783","Hurts, Jalen","QB","PHI",10,22.01625,1.80525,7.4575,28.31
"11671","Evans, Mike","WR+TE","TBB",10,13.465,5.219,7.595,16.33
"13319","Jones, Aaron","RB","GBP",10,13.0716666666667,5.34166666666667,8.13,16.06
"12741","Jones, Chris","DT","KCC",10,10.33,2.33,4.04666666666667,11.13
"15355","Bolton, Nick","LB","KCC",10,10.2933333333333,2.27,3.815,11.06
"13245","Reddick, Haason","DE","PHI",10,9.76166666666667,2.43666666666667,3.93166666666667,11.01
"12718","Bell, Vonn","S","CIN",10,9.61,1.19666666666667,2.918,11.45
"13470","Moore, Kenny","CB","IND",10,9.14,1.11,1.7675,8.91
"15979","Dicker, Cameron","PK","LAC",10,5.64,0.112,1.125,13.11
"14630","Cole, A.J.","PN","LVR",10,5.216,0.502666666666667,1.60933333333333,14
"14056","Murray, Kyler","QB","ARI",11,21.4665,1.2555,6.90775,27.76
"12652","Thomas, Michael","WR+TE","NOS",11,13.19,4.944,7.32,16.06
"13131","Mixon, Joe","RB","CIN",11,12.24,4.51,7.29833333333333,15.22
"12239","Kendricks, Eric","LB","MIN",11,10.2883333333333,2.265,3.81,11.05
"14159","Lawrence, Dexter","DT","NYG",11,9.826,1.826,3.54266666666667,10.63
"12686","Bosa, Joey","DE","LAC",11,9.655,2.33,3.825,10.9
"14909","Winfield, Antoine","S","TBB",11,9.42,1.00666666666667,2.728,11.26
"12711","Ramsey, Jalen","CB","LAR",11,9.03833333333333,1.00833333333333,1.66583333333333,8.81
"13909","Maher, Brett","PK","DAL",11,5.59,0.0620000000000003,1.075,13.06
"15032","Fox, Jack","PN","DET",11,5.1375,0.424166666666667,1.53083333333333,13.92
"14832","Lamb, CeeDee","WR+TE","DAL",12,13.1225,4.8765,7.2525,15.99
"13146","Conner, James","RB","ARI",12,12.005,4.275,7.06333333333333,14.99
"10768","David, Lavonte","LB","TBB",12,10.2483333333333,2.225,3.77,11.01
"9051","Campbell, Calais","DT","BAL",12,9.66,1.66,3.37666666666667,10.46
"14171","Burns, Brian","DE","CAR",12,9.56,2.235,3.73,10.81
"14921","Dugger, Kyle","S","NEP",12,9.33,0.916666666666666,2.638,11.17
"13710","Davis, Carlton","CB","TBB",12,9.00666666666667,0.976666666666667,1.63416666666667,8.78
"8930","Prater, Matt","PK","ARI",12,5.57166666666667,0.0436666666666667,1.05666666666667,13.04
