season,week,franchise_id,starter_status,player_id,player_name,pos,team,player_score,should_start
2023,1,0004,starter,13113,"Watson, Deshaun",QB,CLE,15.23,0
2023,1,0004,starter,14800,"Dobbins, J.K.",RB,BAL,5.90,0
2023,1,0004,starter,13404,"Ekeler, Austin",RB,LAC,28.80,1
2023,1,0004,starter,14085,"Pollard, Tony",RB,DAL,12.40,1
2023,1,0004,starter,11222,"Allen, Keenan",WR,LAC,10.90,1
2023,1,0004,starter,12186,"Diggs, Stefon",WR,BUF,17.40,1
2023,1,0004,starter,14858,"Jefferson, Van",WR,ATL,0.30,0
2023,1,0004,starter,15282,"Smith, DeVonta",WR,PHI,8.40,1
2023,1,0004,starter,14983,"Bass, Tyler",PK,BUF,14.10,1
2023,1,0004,starter,13782,"Dickson, Michael",PN,SEA,9.40,0
2023,1,0004,starter,10266,"Heyward, Cameron",DT,PIT,1.00,0
2023,1,0004,starter,14162,"Wilkins, Christian",DT,MIA,5.50,1
2023,1,0004,starter,13284,"Hendrickson, Trey",DE,CIN,10.10,1
2023,1,0004,starter,15805,"Hutchinson, Aidan",DE,DET,10.00,1
2023,1,0004,starter,10292,"Jordan, Cameron",DE,NOS,13.75,1
2023,1,0004,starter,13837,"Franklin, Zaire",LB,IND,22.50,1
2023,1,0004,starter,12287,"Hicks, Jordan",LB,MIN,2.00,0
2023,1,0004,starter,13730,"Alexander, Jaire",CB,GBP,6.00,1
2023,1,0004,starter,15845,"McDuffie, Trent",CB,KCC,14.00,1
2023,1,0004,starter,11348,"Slay, Darius",CB,PHI,36.50,1
2023,1,0004,starter,13251,"Baker, Budda",S,ARI,4.00,0
2023,1,0004,starter,14909,"Winfield, Antoine",S,TBB,24.50,1
2023,1,0004,nonstarter,15259,"Stevenson, Rhamondre",RB,NEP,10.80,1
2023,1,0004,nonstarter,13223,"Humphrey, Marlon",CB,BAL,NA,0
2023,1,0004,nonstarter,16152,"Richardson, Anthony",QB,IND,16.88,1
2023,1,0004,nonstarter,11674,"Cooks, Brandin",WR,DAL,2.40,0
2023,1,0004,nonstarter,15715,"Cook, James",RB,BUF,5.10,0
2023,1,0004,nonstarter,14247,"Greenlaw, Dre",LB,SFO,6.50,1
2023,1,0004,nonstarter,12802,"Reader, D.J.",DT,CIN,10.50,1
2023,1,0004,nonstarter,12301,"Smith, Za'Darius",DE,CLE,9.00,0
2023,1,0004,nonstarter,14056,"Murray, Kyler",QB,ARI,NA,0
2023,1,0004,nonstarter,12752,"Byard, Kevin",S,PHI,6.50,1
2023,1,0004,nonstarter,13646,"Gallup, Michael",WR,DAL,1.00,0
2023,1,0004,nonstarter,15742,"Warren, Jaylen",RB,PIT,-0.90,0
2023,1,0004,nonstarter,14590,"Al-Shaair, Azeez",LB,TEN,1.00,0
2023,1,0004,nonstarter,16289,"Bennett, Jakorian",CB,LVR,2.60,0
2023,1,0004,nonstarter,11317,"Poyer, Jordan",S,BUF,5.50,0
2023,1,0004,nonstarter,9051,"Campbell, Calais",DT,ATL,3.50,0
2023,1,0004,nonstarter,10753,"Jones, Chandler",DE,FA,NA,0
2023,1,0004,nonstarter,15051,"Townsend, Tommy",PN,KCC,10.55,1
2023,1,0004,nonstarter,15928,"Houston, James",DE,DET,1.00,0
